看小区园林 格局方正实用 通风采光好 刚需上车,美心翠拥华庭一期,番禺客运站,3室2厅 ,86.86, 北 , 简装 ,6, 2004年 , 塔楼,2,24,1760000.0,"20,263元/平",VR房源 房本满五年 随时看房 
金海岸一期，电梯高层大三房，满五唯一,金海岸花园金石碧苑,番禺客运站,3室2厅 ,108.96, 东北 , 精装 ,6, 2002年 , 塔楼,0, 7个月以前发布,2630000.0,"24,138元/平",VR看装修 房本满五年 随时看房 
满五年唯一大三房，高楼层，装修保养好，拎包入住,广州星河湾荟心园,星河湾,3室2厅 ,128.39, 东北 , 精装 ,18, 2001年 , 塔楼,81, 6个月以前发布,4800000.0,"37,387元/平",VR看装修 房本满五年 随时看房 
实用3房，北向，光线好，大花园房子保养新,恒福花园,中新镇,3室2厅 ,121.58, 北 , 精装 ,17, 2012年 , 塔楼,24, 一年前发布,1280000.0,"10,529元/平",近地铁 VR看装修 房本满五年 随时看房 
海滨花园电梯三房望园林景观 视野开阔 采光好,海滨花园,洛溪,3室2厅 ,102.3, 西北 , 简装 ,8, 1998年 , 塔楼,3, 3个月以前发布,2280000.0,"22,288元/平",VR房源 房本满两年 随时看房 
刚需上车盘  两房一厅  中层  满5年唯一,远景新苑,机场路,2室1厅 ,47.23, 北 , 简装 ,9, 1998年 , 塔楼,14, 3个月以前发布,750000.0,"15,880元/平",VR看装修 房本满五年 随时看房 
华工东区 电梯4房 东边位 南北通透,华南理工大学东住宅区,五山,4室2厅 ,106.35, 南 北 , 简装 ,8, 1995年 , 塔楼,4, 1个月以前发布,5800000.0,"54,537元/平",近地铁 VR看装修 房本满五年 随时看房 
原装电梯，南向中间楼层，安静不吵，采光通风好,东怡新区东雅园,东怡新区,3室2厅 ,100.6, 南 , 简装 ,12, 2003年 , 塔楼,3, 7个月以前发布,2600000.0,"25,845元/平",VR看装修 房本满五年 随时看房 
大型花园小区 低楼层 安静不吵 距离地铁口100米距离,百荣园,机场路,2室1厅 ,74.42, 北 , 简装 ,7, 2000年 , 塔楼,10, 1个月以前发布,1650000.0,"22,172元/平",VR房源 房本满五年 随时看房 
凤凰新村 精装三房，房子过五年不唯一，,凤凰新村,工业大道北,3室1厅 ,60.62, 北 , 精装 ,7, 2000年 , 塔楼,25, 4个月以前发布,1390000.0,"22,930元/平",近地铁 VR看装修 房本满五年 随时看房 
橡树园 少有南向一房 产权清晰 看房方便,橡树园,沙太南,1室1厅 ,42.65, 西南 , 简装 ,13, 2004年 , 塔楼,4, 2个月以前发布,1630000.0,"38,219元/平",VR房源 房本满五年 随时看房 
海伦堡花园 证满5年 产权清晰 户型实用 通风采光好,海伦堡花园,沙村,3室2厅 ,103.36, 西南 , 其他 ,11, 2008年 , 塔楼,0, 1个月以前发布,1450000.0,"14,029元/平",VR看装修 房本满五年 随时看房 
岭南花园，精装大三房，户型好，随时看房。,岭南花园,同德围,3室2厅 ,108.38, 北 , 精装 ,6, 2001年 , 塔楼,5, 9个月以前发布,2490000.0,"22,975元/平",近地铁 VR看装修 房本满两年 随时看房 
锦林顶楼复式，满五唯一，南北对流，业主诚心出,锦林山庄,科学城,4室2厅 ,126.63, 南 北 , 简装 ,4, 2011年 , 塔楼,57, 一年前发布,4100000.0,"32,378元/平",近地铁 VR房源 房本满五年 随时看房 
中高楼层，视野开阔，采光通风好,万科新里程,科学城,3室2厅 ,90.82, 北 , 简装 ,25, 2009年 , 塔楼,39, 8个月以前发布,2750000.0,"30,280元/平",VR看装修 房本满两年 随时看房 
南向安静位置，6楼无遮挡，采光视野好,保利林海山庄,龙洞,3室2厅 ,107.07, 南 , 精装 ,24, 2008年 , 塔楼,4, 一年前发布,4980000.0,"46,512元/平",VR看装修 房本满五年 随时看房 
金山谷四期 4室1厅 南,金山谷四期,金山谷,4室1厅 ,109.61, 南 , 精装 ,25, 2010年 , 塔楼,7, 8个月以前发布,4050000.0,"36,950元/平",近地铁 VR房源 房本满五年 随时看房 
优选房源 天河公园优质小区，安静，小区环境好,东方新世界,天河公园,2室2厅 ,68.57, 北 , 精装 ,29, 2005年 , 塔楼,5, 7个月以前发布,5350000.0,"78,023元/平",近地铁 VR看装修 房本满五年 
南向小三房，中高楼层，装修保养好，格局方正,实地常春藤,黄埔永和,3室1厅 ,86.7, 南 , 其他 ,33, 2018年 , 塔楼,9, 9个月以前发布,1650000.0,"19,032元/平",VR房源 房本满两年 随时看房 
双阳台双卫生间，房子保养好，阳光充足采光好,丽江花园左岸,南浦,3室2厅 ,117.5, 北 , 精装 ,16, 2003年 , 塔楼,7, 8个月以前发布,3280000.0,"27,915元/平",VR房源 房本满五年 随时看房 
电梯平层 K改三房，旺中带静 南向望花园，三地铁出行,晓园新村晓园新,昌岗,2室1厅 ,60.13, 南 , 精装 ,9, 1990年 , 塔楼,15, 6个月以前发布,2020000.0,"33,594元/平",VR看装修 房本满两年 随时看房 
花园酒店旁 珠江大厦  原装电梯两房,珠江大厦,建设路,2室1厅 ,71.17, 南 北 , 精装 ,20, 1995年 , 塔楼,23, 一年前发布,2850000.0,"40,045元/平",VR看装修 房本满五年 随时看房 
半岛E区南向三房 高层江景视野 过五年唯一 看房方便,富力半岛,罗冲围,3室2厅 ,89.91, 西南 , 精装 ,26, 2005年 , 塔楼,19, 一年前发布,3050000.0,"33,923元/平",VR看装修 房本满五年 
华景新城，华景里，南北向三房，通风对流,珠江华景里,华景新城,3室1厅 ,104.69, 南 , 精装 ,31, 2013年 , 塔楼,44, 一年前发布,8500000.0,"81,193元/平",VR看装修 房本满五年 随时看房 
美林海岸 高层南向安静望小蛮腰 户型方正。,美林海岸,员村,2室2厅 ,77.09, 西南 , 精装 ,18, 2004年 , 塔楼,4, 4个月以前发布,6000000.0,"77,832元/平",近地铁 VR看装修 房本满五年 随时看房 
南向安静望花园 格局方正 采光通风,穗乐花园,员村,2室1厅 ,84.36, 南 , 简装 ,9, 1998年 , 塔楼,11, 2个月以前发布,3000000.0,"35,562元/平",近地铁 VR房源 房本满两年 随时看房 
准电梯。嘉景园新装修三房，小区就在白信广场旁边,嘉景园,新市,3室2厅 ,58.1, 东南 , 精装 ,9, 1995年 , 塔楼,3, 3个月以前发布,1230000.0,"21,171元/平",VR房源 房本满五年 随时看房 
实用方正3房，望花园，近江景，小区环境好,富丽家园丽水湾,大石,3室2厅 ,81.38, 西 , 精装 ,11, 1995年 , 板塔结合,5, 6个月以前发布,2300000.0,"28,263元/平",VR房源 房本满两年 随时看房 
南向大平卖啊，业主急需置换，视线开阔，采光佳,凤馨苑,凤凰城,3室1厅 ,101.06, 南 , 精装 ,18, 2002年 , 塔楼,3, 2个月以前发布,1600000.0,"15,833元/平",VR看装修 房本满五年 随时看房 
环境好安静小区，复式实用户型，三代同堂，实用率高。,华南御景园,岑村,5室2厅 ,158.0, 南 , 精装 ,9, 2009年 , 塔楼,8, 一年前发布,6900000.0,"43,671元/平",VR房源 房本满五年 随时看房 
小区管理 安静舒适 采光通风良好 随时可看,百事佳新村A区,景泰,2室2厅 ,71.92, 西北 , 简装 ,9, 2006年 , 塔楼,2, 2个月以前发布,1530000.0,"21,274元/平",VR房源 房本满两年 随时看房 
此房旺中带静，高层视野开阔，无欠款 业主诚意卖,创鸿嘉园,金洲,3室2厅 ,129.55, 东南 , 毛坯 ,31, 2013年 , 塔楼,0, 1个月以前发布,2430000.0,"18,758元/平",VR看装修 房本满五年 随时看房 
全新未入住，南向三房，楼层好采光好 业主急卖 有钥匙,阳光城熙然府,进港大道,3室1厅 ,88.03, 东南 , 精装 ,34, 2018年 , 塔楼,4, 5个月以前发布,1750000.0,"19,880元/平",VR看装修 房本满两年 随时看房 
员村山顶 西南向精装两房  业主诚心卖 满五年,赛拉维,员村,2室1厅 ,68.62, 西南 , 精装 ,19, 2002年 , 塔楼,7, 2个月以前发布,3700000.0,"53,921元/平",近地铁 VR房源 房本满五年 随时看房 
珠城北电梯平层入户，一梯两户南北对流，安静花园,六运小区,天河南,2室2厅 ,71.6, 南 北 , 简装 ,7, 1990年 , 塔楼,16, 9个月以前发布,3880000.0,"54,190元/平",近地铁 VR看装修 房本满五年 随时看房 
汇侨新城南区 电梯精装两房 厅出阳台 产权清晰,汇侨新城南区,新市,2室2厅 ,77.12, 北 , 精装 ,17, 2000年 , 塔楼,3, 4个月以前发布,1820000.0,"23,600元/平",VR房源 房本满五年 随时看房 
满五非唯一物业，实用两房，采光通风好 交通便利,佳大银湾,东晓路,2室2厅 ,74.12, 北 , 精装 ,24, 2008年 , 塔楼,1, 11个月以前发布,4250000.0,"57,340元/平",VR看装修 房本满五年 随时看房 
电梯房 4房户型方正 南向望花园 精装 花果山地铁口,骏威广场,旧区,4室2厅 ,156.99, 西南 , 精装 ,17, 2002年 , 塔楼,1, 8个月以前发布,2360000.0,"15,033元/平",近地铁 VR看装修 房本满两年 
金碧新城 南向大二房 方正实用 保养新 安静 近地铁,金碧新城,石井,2室1厅 ,68.93, 东南 , 简装 ,18, 2005年 , 塔楼,1, 2个月以前发布,2000000.0,"29,015元/平",近地铁 VR房源 房本满两年 随时看房 
中高层精装两房保养很好，户型方正，视野开阔无遮挡,阳光城丽景湾,进港大道,2室2厅 ,76.16, 东 , 精装 ,32, 2017年 , 塔楼,2, 3个月以前发布,1140000.0,"14,969元/平",VR看装修 房本满五年 随时看房 
雅居乐剑桥郡高层南向三房 采光好 位置安静,佰利山,雅居乐,3室2厅 ,128.63, 东南 , 其他 ,32, 2012年 , 塔楼,5, 5个月以前发布,5100000.0,"39,649元/平",近地铁 VR房源 房本满五年 随时看房 
新福港鼎峰 南向三房 过五年 保养好 视野好,新福港鼎峰,科学城,3室1厅 ,87.21, 南 , 精装 ,30, 2015年 , 塔楼,2, 6个月以前发布,4380000.0,"50,224元/平",近地铁 VR看装修 房本满五年 随时看房 
双阳台双卫生间，房子保养好，阳光充足采光好,丽江花园左岸,南浦,3室2厅 ,117.5, 北 , 精装 ,16, 2003年 , 塔楼,7, 8个月以前发布,3280000.0,"27,915元/平",VR房源 房本满五年 随时看房 
城西花园 三房两卫 南向望湖 安静 近地铁 精装修,城西花园,金沙洲,3室2厅 ,87.23, 南 , 精装 ,7, 2002年 , 塔楼,135, 一年前发布,1950000.0,"22,355元/平",近地铁 VR看装修 房本满五年 随时看房 
福莱花园 精装三房 看动物园 视野开阔,福莱花园,水荫,3室2厅 ,95.11, 西北 , 简装 ,30, 1997年 , 塔楼,17, 一年前发布,4350000.0,"45,737元/平",VR看装修 房本满五年 随时看房 
华润天合高层三房南向视野无遮挡，看房方便,华润天合,黄村,3室1厅 ,88.16, 南 , 精装 ,33, 2016年 , 塔楼,11, 9个月以前发布,6480000.0,"73,503元/平",VR看装修 房本满两年 随时看房 
花园酒店旁 珠江大厦  原装电梯两房,珠江大厦,建设路,2室1厅 ,71.17, 南 北 , 精装 ,20, 1995年 , 塔楼,23, 一年前发布,2850000.0,"40,045元/平",VR看装修 房本满五年 随时看房 
华景新城，华景里，南北向三房，通风对流,珠江华景里,华景新城,3室1厅 ,104.69, 南 , 精装 ,31, 2013年 , 塔楼,44, 一年前发布,8500000.0,"81,193元/平",VR看装修 房本满五年 随时看房 
此房子满五唯一，南向中楼层采光好,花语水岸,大坦沙,3室1厅 ,111.43, 南 , 精装 ,21, 2015年 , 塔楼,7, 8个月以前发布,5000000.0,"44,872元/平",近地铁 VR看装修 房本满五年 随时看房 
中高楼层，视野开阔，采光通风好,万科新里程,科学城,3室2厅 ,90.82, 北 , 简装 ,25, 2009年 , 塔楼,39, 8个月以前发布,2750000.0,"30,280元/平",VR看装修 房本满两年 随时看房 
南向安静位置，6楼无遮挡，采光视野好,保利林海山庄,龙洞,3室2厅 ,107.07, 南 , 精装 ,24, 2008年 , 塔楼,4, 一年前发布,4980000.0,"46,512元/平",VR看装修 房本满五年 随时看房 
珠岛花园加装电梯 两房南向 户型方正  采光好,珠岛花园,大坦沙,2室1厅 ,54.7, 南 , 精装 ,9, 1995年 , 板塔结合,13, 6个月以前发布,1880000.0,"34,370元/平",近地铁 VR看装修 房本满五年 随时看房 
店长推荐 云景花园小三房 诚心卖,云景花园云桦苑,京溪,3室2厅 ,85.97, 东北 , 精装 ,10, 2002年 , 塔楼,1, 4个月以前发布,3800000.0,"44,202元/平",VR看装修 房本满五年 随时看房 
江畔 网红视野CBD江景塔景 方正大三房可修四房,江畔华庭,滨江东,3室2厅 ,158.96, 南 北 , 精装 ,30, 2002年 , 塔楼,6, 8个月以前发布,10000000.0,"62,909元/平",近地铁 VR看装修 房本满五年 随时看房 
骏景花园 南向大两房 业主诚心  精装修 拎包入住,骏景花园,棠下,2室2厅 ,88.61, 南 , 精装 ,14, 2000年 , 塔楼,2, 4个月以前发布,4820000.0,"54,396元/平",近地铁 VR房源 房本满五年 随时看房 
海滨二期三房 满五少税 户型实用 全新精装修 保养好,海滨花园,洛溪,3室2厅 ,103.1, 西北 , 精装 ,8, 1998年 , 塔楼,3, 8个月以前发布,2200000.0,"21,339元/平",VR看装修 房本满五年 随时看房 
星汇云城 电梯三房 双卫生间 满二  楼层好,越秀星汇云城,同和,3室2厅 ,96.57, 东南 , 简装 ,32, 2020年 , 塔楼,2, 5个月以前发布,4400000.0,"45,563元/平",VR看装修 房本满两年 随时看房 
小区大院管理，原装电梯，地铁麓湖公园比较近,麓苑路35号大院,淘金,3室2厅 ,103.0, 西北 , 其他 ,25, 1996年 , 塔楼,9, 一年前发布,4400000.0,"42,719元/平",近地铁 VR看装修 房本满五年 随时看房 
全新精装修 南向三房  中间楼层,阳光城熙然府,进港大道,3室2厅 ,88.03, 南 , 精装 ,34, 2018年 , 塔楼,1, 10个月以前发布,1690000.0,"19,199元/平",VR看装修 房本满两年 随时看房 
产权清晰，大五房，方正实用，中间楼层！,祈福新村祈福名都,祈福新村,5室2厅 ,163.46, 南 , 精装 ,33, 2014年 , 塔楼,0, 5个月以前发布,5600000.0,"34,260元/平",VR看装修 房本满两年 随时看房 
华景新城，华景里，南北向三房，通风对流,珠江华景里,华景新城,3室1厅 ,104.69, 南 , 精装 ,31, 2013年 , 塔楼,44, 一年前发布,8500000.0,"81,193元/平",VR看装修 房本满五年 随时看房 
半岛E区南向三房 高层江景视野 过五年唯一 看房方便,富力半岛,罗冲围,3室2厅 ,89.91, 西南 , 精装 ,26, 2005年 , 塔楼,19, 一年前发布,3050000.0,"33,923元/平",VR看装修 房本满五年 
花园酒店旁 珠江大厦  原装电梯两房,珠江大厦,建设路,2室1厅 ,71.17, 南 北 , 精装 ,20, 1995年 , 塔楼,23, 一年前发布,2850000.0,"40,045元/平",VR看装修 房本满五年 随时看房 
电梯平层 K改三房，旺中带静 南向望花园，三地铁出行,晓园新村晓园新,昌岗,2室1厅 ,60.13, 南 , 精装 ,9, 1990年 , 塔楼,15, 6个月以前发布,2020000.0,"33,594元/平",VR看装修 房本满两年 随时看房 
动物园地铁站600米 中层三房单位 交通方便  楼层好,水荫路,水荫,3室1厅 ,72.45, 南 , 简装 ,9, 1987年 , 塔楼,6, 6个月以前发布,3300000.0,"45,549元/平",VR房源 房本满五年 随时看房 
岭南林语精装三房 保养好 小区中间楼栋 业主诚心出,保利越秀岭南林语,长岭居,3室2厅 ,92.14, 北 , 精装 ,33, 2016年 , 塔楼,2, 6个月以前发布,2700000.0,"29,304元/平",VR看装修 房本满五年 随时看房 
实用大三房带主套  近地铁  高层视野开阔  格局方正,锦绣香江山水园,汉溪长隆,3室2厅 ,115.09, 西南 , 简装 ,12, 2004年 , 塔楼,8, 2个月以前发布,4180000.0,"36,320元/平",VR看装修 房本满五年 随时看房 
店长推荐 房子满五唯一 高层视野开阔 安静舒适 诚心卖,美心翠拥华庭一期,番禺客运站,3室2厅 ,118.6, 东南 南 , 精装 ,12, 2004年 , 塔楼,2, 5个月以前发布,2700000.0,"22,766元/平",VR看装修 房本满五年 随时看房 
天誉花园 3室1厅 北,天誉花园,林和,3室1厅 ,150.39, 北 , 简装 ,31, 2000年 , 板塔结合,4, 4个月以前发布,9600000.0,"63,835元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五唯一.免征税。中层视野开阔，,新世界锦云峰,嘉禾望岗,3室2厅 ,98.97, 南 , 精装 ,32, 2013年 , 塔楼,3, 4个月以前发布,4580000.0,"46,277元/平",VR看装修 房本满五年 随时看房 
尊享私家大平台，地铁口上盖 楼龄新 正南向 实用率高,耀华国际,三元里,3室2厅 ,65.31, 南 , 简装 ,20, 2005年 , 塔楼,1, 3个月以前发布,2450000.0,"37,514元/平",VR房源 房本满两年 随时看房 
精装三房，全新没住过的，安静舒适，采光充足,阳光城丽景湾,进港大道,3室2厅 ,133.75, 南 , 精装 ,28, 2017年 , 塔楼,3, 2个月以前发布,2110000.0,"15,776元/平",VR看装修 房本满两年 随时看房 
乐得花园，东北向望花园，2+1房,乐得花园,黄边,3室1厅 ,70.37, 东北 , 精装 ,9, 2000年 , 塔楼,18, 一年前发布,1850000.0,"26,290元/平",VR看装修 房本满五年 随时看房 
德荣小区 电梯中层三房 户型方正 过五年唯一 业主诚卖,德荣小区,龙口西,3室1厅 ,97.26, 南 , 简装 ,8, 1995年 , 塔楼,1, 9个月以前发布,5880000.0,"60,457元/平",近地铁 VR看装修 房本满五年 随时看房 
芳园居教师新村 满五年 低层单位 东南向 正在加装电梯,芳园居教师新村,坑口,2室1厅 ,70.26, 南 , 简装 ,9, 1998年 , 塔楼,1, 9个月以前发布,1580000.0,"22,488元/平",VR看装修 房本满五年 随时看房 
龙口片区朝向好大4房能当5房视野采光好,金田花苑,天润路,4室2厅 ,175.14, 南 北 , 精装 ,26, 2005年 , 塔楼,6, 8个月以前发布,12000000.0,"68,517元/平",VR看装修 房本满五年 随时看房 
金海花园 小高层南向 厅出阳台 楼层好,金海花园,龙口东,2室1厅 ,79.25, 南 , 简装 ,9, 2002年 , 板塔结合,14, 一年前发布,5980000.0,"75,458元/平",VR看装修 房本满五年 
21号线山田站 次新楼盘 刚需3房 业主诚心,汇港威华雅苑,朱村,3室2厅 ,91.18, 东南 , 毛坯 ,25, 2018年 , 塔楼,5, 一年前发布,890000.0,"9,761元/平",近地铁 VR看装修 房本满两年 随时看房 
证满五年，户型实惠实用，南北对流 景观靓,岭南新世界,嘉禾望岗,4室2厅 ,96.59, 东北 , 精装 ,11, 2008年 , 塔楼,18, 3个月以前发布,3700000.0,"38,307元/平",VR看装修 房本满五年 随时看房 
春鸿居 高层电梯房 望陈田公园 景观好,春鸿居,元下田,2室1厅 ,62.26, 东南 , 简装 ,9, 1997年 , 塔楼,4, 3个月以前发布,1290000.0,"20,720元/平",VR看装修 房本满五年 随时看房 
滨海珺城 南北朝向3房 全新没住 望江景 楼栋位置好,越秀滨海珺城,明珠湾,3室2厅 ,125.96, 南 北 , 其他 ,23, 2014年 , 塔楼,4, 6个月以前发布,3050000.0,"24,215元/平",近地铁 VR看装修 房本满五年 随时看房 
大润发旁，近地铁 南向大三房，采光通风好,云港花园,新区,3室2厅 ,133.62, 南 , 精装 ,18, 2006年 , 塔楼,1, 5个月以前发布,2150000.0,"16,091元/平",近地铁 VR看装修 房本满五年 随时看房 
万科新里程  品质小区 近地铁  配套成熟 视野开阔,万科新里程,科学城,3室2厅 ,90.2, 南 , 精装 ,25, 2009年 , 塔楼,6, 2个月以前发布,3320000.0,"36,808元/平",VR看装修 房本满五年 随时看房 
三阳台天河北高品质小区原装电梯温馨三房采光足三阳台,金田花苑,天润路,3室2厅 ,90.3, 东 北 , 精装 ,19, 1997年 , 板楼,2, 2个月以前发布,5490000.0,"60,798元/平",VR看装修 房本满五年 随时看房 
昌岗中 2000年小区 楼龄新 格局好 大两房,德怡居,昌岗,2室1厅 ,66.0, 东南 , 简装 ,9, 1999年 , 塔楼,10, 4个月以前发布,2180000.0,"33,031元/平",近地铁 VR房源 房本满五年 随时看房 
南北对流三房  高楼层视野无遮挡 业主自住,阳光城悦然府,进港大道,3室2厅 ,97.65, 南 北 , 精装 ,33, 2020年 , 塔楼,3, 11个月以前发布,1890000.0,"19,355元/平",VR看装修 房本满两年 随时看房 
此房满五年，南北对流采光好，配套设施齐全，交通便利,亚运城技术官员村,亚运城,3室2厅 ,141.04, 南 , 精装 ,11, 2010年 , 塔楼,31, 一年前发布,3860000.0,"27,369元/平",VR看装修 房本满五年 随时看房 
"房子户型方正，看房方便，南向安静，通风采光好,看海",南沙珠江湾,南沙湾,3室2厅 ,118.93, 东南 , 精装 ,32, 2015年 , 板塔结合,8, 8个月以前发布,2230000.0,"18,751元/平",VR看装修 房本满五年 随时看房 
明珠湾品质楼盘金茂湾四房，南北通透，前后望园林,南沙金茂湾,明珠湾,4室2厅 ,136.08, 南 北 , 毛坯 ,32, 2017年 , 塔楼,17, 一年前发布,3680000.0,"27,043元/平",VR看装修 房本满五年 随时看房 
锦丽居 东南向望花园 装修保养好 证满五年,锦丽居,东晓南,3室2厅 ,113.1, 东南 , 精装 ,21, 2002年 , 塔楼,2, 9个月以前发布,4800000.0,"42,441元/平",近地铁 VR看装修 房本满五年 随时看房 
珠委大院  电梯三房 华阳 南北对流 双阳台 过五唯一,珠委大院,林和,3室1厅 ,83.78, 东 南 北 , 精装 ,9, 1997年 , 板楼,10, 9个月以前发布,4990000.0,"59,561元/平",VR看装修 房本满五年 随时看房 
房子采光通透 方正2房 厅出阳台楼龄新,波尔多庄园,黄花岗,2室1厅 ,71.59, 西北 , 精装 ,22, 2004年 , 塔楼,4, 一年前发布,4250000.0,"59,366元/平",VR房源 房本满五年 随时看房 
亚运城 天荟 3房2卫 南北对流 精装修 满五年唯一,亚运城天荟,亚运城,3室2厅 ,142.96, 南 北 , 精装 ,52, 2016年 , 塔楼,15, 11个月以前发布,3800000.0,"26,581元/平",近地铁 VR看装修 房本满五年 随时看房 
颐和盛世 中高层4房 出行方便 环境舒适 阳光充足,颐和盛世,炭步,3室2厅 ,133.43, 南 , 精装 ,32, 2011年 , 塔楼,9, 一年前发布,900000.0,"6,746元/平",VR看装修 房本满两年 随时看房 
小区一期安静位置，主卧南北对流，诚心卖,中海康城,黄村,3室2厅 ,111.0, 南 北 , 精装 ,11, 2002年 , 板楼,131, 一年前发布,5300000.0,"47,748元/平",近地铁 VR看装修 房本满五年 随时看房 
四开间南向 精装大三房 高楼层视野开阔，看江景,越秀滨海珺城,明珠湾,3室2厅 ,132.05, 南 , 精装 ,26, 2014年 , 塔楼,3, 4个月以前发布,3260000.0,"24,688元/平",近地铁 VR看装修 房本满两年 随时看房 
"省级,地铁口900米，小区管理。南北对流，自住装修保养",禺秀园,市桥,3室2厅 ,99.79, 南 , 精装 ,8, 1996年 , 板楼,9, 9个月以前发布,1550000.0,"15,533元/平",近地铁 VR看装修 房本满五年 随时看房 
天胜村 低层大3房 一梯两户 南北对流 华侨无占 近地铁,天胜村,淘金,4室2厅 ,122.77, 南 北 , 简装 ,4, 1970年 , 板楼,4, 8个月以前发布,5700000.0,"46,429元/平",近地铁 VR看装修 房本满五年 随时看房 
祈福新村蝶舞轩 3房2卫 南向 一楼,祈福新村蝶舞轩,祈福新村,3室2厅 ,91.14, 南 , 简装 ,6, 2002年 , 板楼,2, 1个月以前发布,2750000.0,"30,174元/平",VR房源 房本满五年 随时看房 
天河城电梯，两房两厅，珠城一路之隔,瑞达大厦,天河南,2室1厅 ,79.98, 西南 , 精装 ,22, 1999年 , 塔楼,2, 2个月以前发布,3400000.0,"42,511元/平",VR看装修 房本满五年 随时看房 
满五年，方正户型，电梯三房，采光通风好，配套完善,景泰名苑,景泰,3室1厅 ,74.91, 东北 , 简装 ,11, 2001年 , 塔楼,1, 4个月以前发布,1900000.0,"25,364元/平",VR房源 房本满五年 随时看房 
单边位精装两房 各个功能间都有日照 高层视野无遮挡,瑞心苑,粤垦,2室2厅 ,77.94, 东北 , 精装 ,11, 2000年 , 塔楼,3, 9个月以前发布,4000000.0,"51,322元/平",VR房源 房本满两年 随时看房 
店长都推荐的房源：安静大两房，楼层采光靓,金雅苑,滨江东,2室2厅 ,70.34, 北 , 简装 ,13, 2001年 , 塔楼,7, 7个月以前发布,3300000.0,"46,915元/平",VR房源 房本满两年 随时看房 
一手业主，满五年，南向双阳台， 采光通风好，保养好,紫薇花园,新市,3室2厅 ,103.53, 东南 , 简装 ,18, 2006年 , 塔楼,2, 3个月以前发布,3380000.0,"32,648元/平",VR看装修 房本满五年 随时看房 
岭南花园，精装大三房，户型好，随时看房。,岭南花园,同德围,3室2厅 ,108.38, 北 , 精装 ,6, 2001年 , 塔楼,5, 9个月以前发布,2490000.0,"22,975元/平",近地铁 VR看装修 房本满两年 随时看房 
黄埔科学城地铁楼盘刚需大三房靠山安静配套齐全宜居,龙光峰景华庭,科学城,3室2厅 ,90.0, 北 , 精装 ,18, 2009年 , 塔楼,130, 一年前发布,2230000.0,"24,778元/平",VR看装修 房本满五年 随时看房 
广弘天琪 高层三房两卫 望西塔 景观好,广弘天琪,珠江新城西,3室2厅 ,117.11, 北 , 精装 ,31, 2009年 , 塔楼,130, 一年前发布,12200000.0,"104,176元/平",近地铁 VR看装修 房本满五年 随时看房 
某博商圈满五唯一住宅，双地铁，二次新装修，视野开阔,万科欧泊,万博,3室2厅 ,95.93, 北 , 精装 ,35, 2012年 , 板塔结合,41, 2个月以前发布,4480000.0,"46,701元/平",VR看装修 房本满五年 随时看房 
海伦堡花园 证满5年 产权清晰 户型实用 通风采光好,海伦堡花园,沙村,3室2厅 ,103.36, 西南 , 其他 ,11, 2008年 , 塔楼,0, 1个月以前发布,1450000.0,"14,029元/平",VR看装修 房本满五年 随时看房 
天麓山凤锦苑 四房两卫 楼层高保养好 带车位,碧桂园凤凰城凤锦苑,凤凰城,4室2厅 ,134.63, 南 , 精装 ,24, 2002年 , 塔楼,2, 3个月以前发布,2200000.0,"16,342元/平",VR房源 房本满五年 随时看房 
实用三房 近地铁 安静望花园 带车位,佰利山,雅居乐,3室1厅 ,109.36, 东北 , 精装 ,29, 2010年 , 塔楼,1, 一年前发布,3700000.0,"33,834元/平",近地铁 VR看装修 房本满五年 随时看房 
锦林顶楼复式，满五唯一，南北对流，业主诚心出,锦林山庄,科学城,4室2厅 ,126.63, 南 北 , 简装 ,4, 2011年 , 塔楼,57, 一年前发布,4100000.0,"32,378元/平",近地铁 VR房源 房本满五年 随时看房 
中海花城湾 高层南向安静望江 小三房,中海花城湾,珠江新城中,3室2厅 ,92.99, 南 , 精装 ,30, 2014年 , 塔楼,9, 2个月以前发布,17880000.0,"192,279元/平",VR看装修 房本满五年 随时看房 
交通方便，毛坯房可按自己喜欢的风格装修,南沙境界,黄阁,3室2厅 ,123.83, 南 , 毛坯 ,18, 2007年 , 塔楼,1, 5个月以前发布,1680000.0,"13,567元/平",VR看装修 房本满五年 随时看房 
满五税费少，交通方便，业主诚心卖！,南沙境界,黄阁,3室2厅 ,123.83, 南 , 毛坯 ,18, 2007年 , 塔楼,1, 5个月以前发布,1680000.0,"13,567元/平",VR看装修 房本满五年 随时看房 
金碧雅苑 少有南向两房 厅出阳台 位置安静,金碧雅苑,黄边,2室1厅 ,66.52, 南 , 精装 ,11, 2003年 , 塔楼,8, 7个月以前发布,2800000.0,"42,093元/平",近地铁 VR看装修 房本满五年 随时看房 
黄石商圈电梯大两房，配套成熟，精装修拎包入住,新苑大厦,黄石,2室1厅 ,75.3, 南 , 精装 ,9, 1995年 , 塔楼,0, 2个月以前发布,1599000.0,"21,236元/平",VR看装修 房本满五年 随时看房 
金湖雅苑 中高楼层 大三房 诚意放卖,金湖雅苑,沙太北,3室2厅 ,98.51, 东南 , 简装 ,19, 1999年 , 塔楼,12, 一年前发布,2050000.0,"20,811元/平",VR看装修 房本满五年 随时看房 
